	LQ2.141729	IT2.141720	HI3.141676	MD2.141689	RT1.141654	CA1.141704	PE6.141700	PE5.141692	CM1.141723	CO1.141714	BZ1.141724	AR1.141727	HI4.141735	AR2.141703	SN3.141650	PE7.141734	SV2.141666	CF2.141679	MD3.141707	JT1.141699	HF2.141686	HI2.141672	PE1.141715	SP2.141678	CL1.141697	BF1.141647	TL1.141653	MP1.141661	SF2.141677	MD5.141688	CO2.141657	MT2.141698	KP1.141713	HF1.141663	CO3.141651	CL3.141664	SV1.141649	SF1.141728	TL3.141709	PE4.141683	GB1.141665	CF3.141691	BP1.141702	SB1.141730	KP3.141658	SR2.141673	SK3.141716	PE2.141725	CR1.141682	CA2.141685	BB2.141659	GB3.141652	HJ1.141718	CF1.141675	SN1.141681	GB5.141668	LQ3.141712	DF2.141726	MT1.141719	SA1.141670	SP1.141656	HJ2.141717	SA2.141687	SK2.141662	GB2.141732	IE1.141648	IE2.141655	IT1.141711	CL4.141667	DF1.141684	BF2.141708	RT2.141710	DF3.141696	SR3.141674	KP4.141733	MP2.141695	VC2.141694	PE3.141731	CC1.141721	VC1.141722	TL2.141706	CL2.141671	AR3.141705	SK1.141669	SR1.141680
BZ1.141724	0.749872494332	0.638757033828	0.737716549885	0.786706806381	0.804310329576	0.779932377632	0.742289774705	0.751985399897	0.791951837529	0.702184439252	0.0	0.790438416541	0.746737107962	0.775712724885	0.706166958276	0.764814315259	0.819711424751	0.756361390105	0.814941796715	0.841695068508	0.707681737414	0.724676676324	0.684918075485	0.644999403553	0.703590664769	0.68548817544	0.700493578999	0.647653712583	0.814937136109	0.805685197915	0.670937141584	0.69432406844	0.779343755864	0.68702533433	0.717736297662	0.729113961015	0.820553101838	0.796285340694	0.629903876179	0.771678909076	0.784415117313	0.753394258225	0.761421707449	0.799333515786	0.807859959248	0.794356318118	0.55894710446	0.730301278492	0.818616768152	0.770311870403	0.671380793158	0.755604416426	0.599135938896	0.690062079934	0.707113461415	0.806548453988	0.746483874047	0.740517759247	0.780451011571	0.780472540118	0.757714294968	0.652650584988	0.82337123785	0.73447043629	0.799359340494	0.663717929968	0.66747545283	0.690545206094	0.721140462081	0.652712622802	0.722585977293	0.794255115491	0.648941863345	0.794260792567	0.788693247702	0.603283470135	0.703118852664	0.747685505151	0.735707388757	0.649993718249	0.74802247778	0.748045999531	0.758453587931	0.610063256683	0.76449573656
AR1.141727	0.747204902287	0.72656245156	0.67727509088	0.785161005612	0.716768078832	0.750332821041	0.728572988472	0.803268162759	0.694463692049	0.745165676963	0.790438416541	0.0	0.76444798192	0.624352927077	0.77352420398	0.673841488299	0.808348740517	0.850397634757	0.785239052069	0.804610682287	0.804378142245	0.72302253868	0.76849391658	0.764614749339	0.728314364073	0.77021796114	0.80902845947	0.738581239881	0.771455557213	0.801898089704	0.759491896488	0.753576682832	0.708975605304	0.758183996024	0.700344626185	0.74205618083	0.802921710193	0.765728900844	0.796275704869	0.849753289848	0.758081894972	0.855667061568	0.698045846369	0.767870607218	0.685047239431	0.756173737905	0.733578548126	0.807208508867	0.730793526268	0.74801641657	0.750634123671	0.710769729868	0.741042260642	0.80593910481	0.812140100861	0.774859459742	0.782152594437	0.714192998195	0.760108228952	0.754415700611	0.735120408038	0.714717707486	0.779477034436	0.755782036003	0.734781362115	0.723598473152	0.713036195038	0.727892048469	0.747024124105	0.740417030952	0.805834029066	0.704694923057	0.771889330645	0.774262754206	0.657125097549	0.76669204035	0.684631943426	0.780542641526	0.716502511832	0.767054152078	0.733708194121	0.701421957329	0.584940251195	0.782489303125	0.714139481744
HI4.141735	0.613822801345	0.725101989837	0.771864975509	0.839164389329	0.821641684772	0.798502981249	0.615135257351	0.6687389258	0.815964968258	0.772984863527	0.746737107962	0.76444798192	0.0	0.781638301138	0.778557087868	0.742146103626	0.845327389603	0.725362792342	0.836386543714	0.848199745629	0.650672314141	0.741263151633	0.677120335629	0.689908522421	0.685798356148	0.659696059265	0.722919046032	0.647908731541	0.837156426569	0.838846750369	0.725725903663	0.76613235861	0.809377997502	0.634061451168	0.774841732404	0.719997731292	0.855736374398	0.838072957439	0.668706508457	0.671849826899	0.837159271593	0.67762535721	0.806297628128	0.836750653181	0.816839530191	0.836019695961	0.717060953197	0.680548703415	0.805467749088	0.808924867183	0.649564875717	0.768477325671	0.708338541839	0.64764459766	0.756795284452	0.841730763242	0.626517401007	0.802354993287	0.831925148249	0.806957445217	0.779694124057	0.689083055909	0.851186136901	0.773548324989	0.840361820629	0.726287775517	0.73341675779	0.774119938408	0.761737751657	0.700071460205	0.645037965909	0.811012545181	0.640960448851	0.807562226139	0.815887773534	0.650683574487	0.73528894511	0.628922182327	0.779939738641	0.744514802555	0.76787071181	0.75085251707	0.750058431398	0.710277051637	0.822504795245
AR2.141703	0.774719857313	0.716642332129	0.665077007467	0.786860758821	0.702055694058	0.719415656317	0.761692831807	0.817359106836	0.687484185056	0.720841690903	0.775712724885	0.624352927077	0.781638301138	0.0	0.761200254716	0.660451290749	0.785055875528	0.837541084787	0.806084052006	0.814449133958	0.820173325284	0.705654285487	0.78647740919	0.766540431875	0.695104628218	0.789192671326	0.800673970679	0.75077697658	0.758391734762	0.80878558961	0.763382349741	0.720690763178	0.698500751041	0.783515205133	0.729205801943	0.733461660717	0.806557338028	0.736124418155	0.792447650178	0.860682977012	0.74180938936	0.848125859739	0.694806328095	0.748514992943	0.676157692208	0.754834224994	0.740394393152	0.81910782997	0.713320204694	0.717569013272	0.776329182697	0.708482375394	0.76004452814	0.803176973912	0.803592667009	0.765441160992	0.779569410103	0.66253704411	0.727425135213	0.736692983077	0.721590668732	0.673367112215	0.743212814623	0.722667836738	0.714021924435	0.724364093786	0.704523457736	0.708388603466	0.722985459022	0.736229791235	0.801140760176	0.694100227063	0.781519405464	0.755859784483	0.690842428741	0.770604960514	0.694442848174	0.819507220946	0.701948719969	0.733776295808	0.728836198277	0.699601534478	0.614502713483	0.766072647152	0.7168725047
SN3.141650	0.779699522556	0.676352127138	0.743089869184	0.702736007833	0.761809167879	0.71269181357	0.766766577539	0.802218414138	0.758104147961	0.646925828916	0.706166958276	0.77352420398	0.778557087868	0.761200254716	0.0	0.77353075332	0.715969598188	0.825336336427	0.758370897392	0.750959352368	0.759773752256	0.719700630865	0.791300959858	0.683709744381	0.733776078084	0.722650990957	0.772856466369	0.725985813114	0.743969871645	0.73304988266	0.688605537567	0.696697429485	0.730477820233	0.755023736816	0.640748305814	0.704245991659	0.738262448803	0.731505369299	0.712527392697	0.830788090725	0.716670562272	0.809422042833	0.695773574621	0.723591677522	0.765265313343	0.715047984402	0.690555228254	0.803971422781	0.782486730892	0.70479211025	0.751726389549	0.743041195769	0.739008364751	0.748806992693	0.657138434242	0.714860995324	0.783424154143	0.746097258727	0.754901443266	0.677095517326	0.672169856841	0.671477726049	0.771717018613	0.755382742608	0.740024504158	0.704948206827	0.65574093499	0.722570531653	0.695680489741	0.68859864687	0.773288725128	0.76249765171	0.734308516043	0.670011220244	0.740679707599	0.708613997711	0.660590664184	0.792238110264	0.733109829096	0.685016134238	0.758933575944	0.697046037043	0.759863546701	0.67804656098	0.711859513901
PE7.141734	0.71528021824	0.701217780476	0.714082233017	0.803596436327	0.722631720961	0.726526207594	0.703433603024	0.761747037348	0.728810814122	0.763548135075	0.764814315259	0.673841488299	0.742146103626	0.660451290749	0.77353075332	0.0	0.815087231203	0.8196351414	0.807727748191	0.837373967839	0.799519163477	0.722220659819	0.722750640612	0.746497961304	0.680955562999	0.768436204457	0.783244973651	0.73930879525	0.777946125754	0.821537278917	0.744689869502	0.732723639628	0.75308614307	0.751609713686	0.73635430562	0.684362906563	0.811933646672	0.758224666357	0.789640310962	0.815477561185	0.757979515624	0.820237421656	0.734437326524	0.774435285384	0.726796238882	0.77577137992	0.703718444	0.758409720869	0.731108380091	0.748687141124	0.727655684443	0.763021961867	0.751615826898	0.765809125737	0.802800938788	0.78641852487	0.75106864205	0.689647490509	0.718718521534	0.774551086489	0.752382178535	0.688897267228	0.748608833323	0.744458965525	0.752861967228	0.71215036132	0.688671400312	0.706658074883	0.737741552059	0.723335756362	0.765166365657	0.721926271333	0.719909078181	0.763727668824	0.747426048718	0.729452414594	0.702365964578	0.76489715452	0.70354268097	0.754721115009	0.703156626121	0.708038140833	0.639053104619	0.786687779755	0.73183715771
SV2.141666	0.84010902362	0.808739945897	0.77433551635	0.592199901224	0.708355372742	0.665378635501	0.848989301664	0.869578611571	0.715273856498	0.756630888885	0.819711424751	0.808348740517	0.845327389603	0.785055875528	0.715969598188	0.815087231203	0.0	0.888377074725	0.603796347164	0.641379495425	0.84638594821	0.791280858775	0.846845073826	0.806456567019	0.793790170436	0.842875237381	0.853169008797	0.82966607911	0.59288807527	0.664692086763	0.796260525929	0.784964378317	0.732849950244	0.819094499768	0.714925061601	0.797664381078	0.554615218172	0.652645632143	0.81562693849	0.895045106371	0.702901085018	0.886364059516	0.71379856728	0.631966557826	0.718303429057	0.633109814252	0.809268672179	0.883961713969	0.70362132641	0.662041061589	0.854826630232	0.767040709465	0.848663573719	0.835636814301	0.784592523921	0.635864757875	0.850680739546	0.788900077838	0.771296645913	0.714556449529	0.722663912159	0.797734650054	0.676956133558	0.823245329847	0.712710897569	0.811197468059	0.784386445723	0.788085551144	0.787287260614	0.808495299652	0.859130552313	0.721980658762	0.826136995297	0.662146225932	0.761406802217	0.830806579874	0.7549909847	0.856587806835	0.792672408414	0.782113267012	0.813811920365	0.784358646669	0.778574894305	0.785405436078	0.694361552891
CF2.141679	0.696601322201	0.808349272059	0.850213419804	0.883454410356	0.888145300025	0.86584613645	0.714057437058	0.665503901157	0.875226650411	0.831414332067	0.756361390105	0.850397634757	0.725362792342	0.837541084787	0.825336336427	0.8196351414	0.888377074725	0.0	0.873412322784	0.895161406791	0.628883007988	0.840013371074	0.66447475389	0.752009184845	0.760206236182	0.678986010291	0.756775801055	0.685668390177	0.888525854278	0.879841337787	0.807557544591	0.83256646871	0.866225336012	0.631811615235	0.828600368963	0.786998073663	0.901581736562	0.891056990917	0.671735624405	0.638386219016	0.887121939943	0.532654792858	0.863840135028	0.879590585402	0.883734149674	0.893998848881	0.761480240144	0.685197484405	0.886147930539	0.879146863713	0.682778195081	0.820107895864	0.710629094782	0.621356757964	0.777086570755	0.884422848177	0.735538844446	0.868126019815	0.890929115877	0.857397189009	0.870136617905	0.768416285294	0.887875521486	0.841461793654	0.90033846944	0.817735852388	0.809933527568	0.845505687567	0.825066695892	0.753483578513	0.6256425835	0.880502736723	0.717433421702	0.88011117514	0.874107158833	0.649413435171	0.826966489552	0.678016486392	0.826458737661	0.81139508685	0.841458559217	0.850653926192	0.84998137346	0.755429598094	0.883522431924
MD3.141707	0.836797787924	0.798326277532	0.786145500309	0.617411545827	0.784864878831	0.736303934878	0.818344106589	0.859987288435	0.765782648743	0.759312842225	0.814941796715	0.785239052069	0.836386543714	0.806084052006	0.758370897392	0.807727748191	0.603796347164	0.873412322784	0.0	0.637857539378	0.834376844512	0.790393982145	0.838211494812	0.81592210037	0.805662072857	0.830534280797	0.847711196395	0.797660079849	0.635155829517	0.678894890377	0.770009322061	0.789325773224	0.773883070624	0.802478282339	0.72287818491	0.811111893018	0.61316020132	0.717946460021	0.830330605303	0.882763423946	0.705708866734	0.871447094676	0.743878444995	0.714450272893	0.755979081694	0.683881909793	0.805512640878	0.848306903362	0.780162869584	0.749761108528	0.812698779789	0.784523224777	0.817908541005	0.844046711594	0.783774680816	0.682610473628	0.857022112044	0.796355264918	0.79271104466	0.717300906603	0.752909469221	0.789852906842	0.724444879249	0.811061811369	0.729716005856	0.792419921749	0.761852154605	0.791803120344	0.77701643577	0.8050053991	0.847210324004	0.773037030938	0.816333414468	0.731472764262	0.793520879017	0.823560881107	0.753862084955	0.862891584792	0.792466068359	0.788034270408	0.807294648532	0.781923958026	0.793463399431	0.801947085228	0.748230768531
JT1.141699	0.840113341843	0.819963710265	0.787119853761	0.582798292487	0.774356238115	0.71026218613	0.821754978549	0.8753916847	0.778026744009	0.749299726073	0.841695068508	0.804610682287	0.848199745629	0.814449133958	0.750959352368	0.837373967839	0.641379495425	0.895161406791	0.637857539378	0.0	0.844300314615	0.801564314967	0.84970331011	0.807604615574	0.809595402623	0.842472130729	0.840469283117	0.825592785718	0.642501193848	0.645335564266	0.797972113849	0.788218063466	0.782167129832	0.830285810042	0.753462404086	0.807777102012	0.612568521471	0.697820145931	0.815169672741	0.887547196482	0.693170652014	0.878994301156	0.739875548776	0.686638314333	0.756540825764	0.69662498198	0.824906539995	0.866906602734	0.765364656832	0.723425930102	0.835944379557	0.776780025305	0.849554980836	0.854170161338	0.772873027173	0.649873636893	0.854437914676	0.807011827529	0.799388092361	0.720889432294	0.757795805429	0.813884755112	0.720819857917	0.813341685114	0.713567064121	0.812734550978	0.800006129226	0.803073739631	0.793042359156	0.816386991349	0.855737076318	0.767151846365	0.852706128491	0.689272544197	0.814223768546	0.846476139065	0.779247148923	0.877807449164	0.791762028741	0.810736377925	0.827617531835	0.788861265311	0.792644271099	0.803249836398	0.734586740831
